paper_name,journal,number_entities
conf_www_SenSW04,WWW,31
conf_icse_DietlDEMS11,ICSE,29
conf_trec_BellotCEGL02,TREC,28
conf_vldb_LevyMS94,VLDB,28
conf_ercimdl_PayetteL98,ECDL,27
conf_icse_SohnGSLCSC06,ICSE,26
conf_vldb_X00a,VLDB,25
conf_vldb_RoweS87,VLDB,25
conf_vldb_LyngbaekM83,VLDB,25
conf_sigir_SonnenbergerF95,SIGIR,24
conf_esws_KontokostasBHLI14,ESWC,24
conf_www_MikaOGS04,WWW,23
conf_icse_Gerhart84,ICSE,23
conf_icse_XiaoCKMF16,ICSE,23
conf_vldb_BiveinisSJ07,VLDB,23
conf_trec_SoboroffVC06,TREC,22
conf_www_Amer-YahiaBS04,WWW,22
conf_icse_Teitelman84,ICSE,22
conf_sigir_ViolaN05,SIGIR,21
conf_www_BurszteinSBM12,WWW,21
conf_icse_Perry89,ICSE,21
conf_trec_MartinezOA12,TREC,20
conf_vldb_GutierrezPST94,VLDB,20
conf_vldb_Kim93,VLDB,20
conf_esws_PreeceJPMESB06,ESWC,19
conf_esws_JuppBS09,ESWC,19
conf_www_EbermanCMG02,WWW,19
conf_www_CardinaelsMD05,WWW,19
conf_www_MaLZXLX15,WWW,19
conf_icse_Marsic01,ICSE,19
conf_icse_NittoR99,ICSE,19
conf_vldb_BohannonEFF06,VLDB,19
conf_jcdl_HunterC04,JCDL,18
conf_sigir_Winograd73,SIGIR,18
conf_esws_MaYQXPL06,ESWC,18
conf_icse_NearJ16,ICSE,18
conf_icse_QinTNL16,ICSE,18
conf_icse_NguyenNNN11,ICSE,18
conf_vldb_ChongDES05,VLDB,18
conf_vldb_RothermelM89,VLDB,18
conf_vldb_Lynch88,VLDB,18
conf_vldb_ChaudhuriDHW04,VLDB,18
conf_sigir_Hasanuzzaman0DF15,SIGIR,17
conf_trec_LeeLS07,TREC,17
conf_trec_Abou-AssalehCDKW05,TREC,17
conf_esws_Aleman-MezaBBBMNPZ07,ESWC,17
conf_www_LiH03,WWW,17
conf_www_BellasFM04,WWW,17
conf_www_PatilOSV04,WWW,17
conf_icse_Reiss84,ICSE,17
conf_icse_Bishop06,ICSE,17
conf_icse_YuanM07,ICSE,17
conf_icse_PrecheltH03,ICSE,17
conf_vldb_CareyJL89,VLDB,17
conf_vldb_GardarinCKPS89,VLDB,17
conf_vldb_YanA94,VLDB,17
conf_vldb_Kent91,VLDB,17
conf_ercimdl_ShenGFF05,ECDL,16
conf_trec_GrunfeldKDD03,TREC,16
conf_trec_BalogSV10,TREC,16
conf_esws_GrimmKLN07,ESWC,16
conf_esws_SimonWMM13,ESWC,16
conf_esws_RamollariKDS09,ESWC,16
conf_esws_LomuscioS09,ESWC,16
conf_www_CahnABM16,WWW,16
conf_www_GuptaGLSWZ13,WWW,16
conf_icse_Blum84,ICSE,16
conf_icse_RahmanD13,ICSE,16
conf_icse_FutatsugiGMO87,ICSE,16
conf_vldb_OnoseBC07,VLDB,16
conf_vldb_GoldSH85,VLDB,16
conf_vldb_BernsteinHSSZ97,VLDB,16
conf_jcdl_GronbaekRSB06,JCDL,15
conf_jcdl_LacastaLRN14,JCDL,15
conf_sigir_SaGSS16,SIGIR,15
conf_sigir_GreiffCT97,SIGIR,15
conf_ercimdl_HalbertKH03,ECDL,15
conf_trec_BlottCFGGJMOSWBS04,TREC,15
conf_trec_DayanikFGKMLM04,TREC,15
conf_trec_ReddZBRR12,TREC,15
conf_esws_WangXZY07,ESWC,15
conf_esws_GarsholB13,ESWC,15
conf_esws_CallahanCAD13,ESWC,15
conf_www_CardoneST05,WWW,15
conf_www_OldhamVSH06,WWW,15
conf_www_SunTMG07,WWW,15
conf_www_DodsonVPCL12,WWW,15
conf_icse_PeuschelS92,ICSE,15
conf_icse_DemskyR02,ICSE,15
conf_icse_TonellaTN14,ICSE,15
conf_icse_EllisSM07,ICSE,15
conf_icse_DashofyHT02,ICSE,15
conf_icse_HasanKHSAH16,ICSE,15
conf_icse_DekelH09,ICSE,15
conf_icse_CugolaNF98,ICSE,15
conf_icse_LorenzV03,ICSE,15
conf_icse_FriasGPA05,ICSE,15
conf_icse_WongCKD11,ICSE,15
conf_icse_KazmanAK01,ICSE,15
conf_icse_ErnstLMST16,ICSE,15
conf_icse_YanGSAK04,ICSE,15
conf_vldb_GeorgeH98,VLDB,15
conf_vldb_LiTJE07,VLDB,15
conf_vldb_LimWW07,VLDB,15
conf_vldb_BernsteinPS99,VLDB,15
conf_vldb_CeriFP99,VLDB,15
conf_vldb_DasCES04,VLDB,15
conf_vldb_WitkowskiCK93,VLDB,15
conf_vldb_MoserKK95,VLDB,15
conf_vldb_HarizopoulosLAM06,VLDB,15
conf_jcdl_JerezLHS04,JCDL,14
conf_jcdl_DakkaG07,JCDL,14
conf_jcdl_SandersonS10,JCDL,14
conf_jcdl_WittenBB01,JCDL,14
conf_ercimdl_VelegrakisCC99,ECDL,14
conf_trec_Litkowski04,TREC,14
conf_trec_DouCSMSW09,TREC,14
conf_trec_Tomlinson01,TREC,14
conf_trec_DemeesterTNHZ14,TREC,14
conf_esws_BoerWGHIOS12,ESWC,14
conf_esws_DimitrovSMK07,ESWC,14
conf_esws_BrennanFMBTWFCG16,ESWC,14
conf_www_KrishnamurthyMW10,WWW,14
conf_www_HanGT10,WWW,14
conf_www_KaminskiKG16,WWW,14
conf_www_BianLLZZ10,WWW,14
conf_www_MittalCGM08,WWW,14
conf_www_AtreCZH10,WWW,14
conf_www_Al-MasriM08,WWW,14
conf_icse_YouLSZWXZ16,ICSE,14
conf_icse_DevanbuJ94,ICSE,14
conf_icse_DegiovanniAAU14,ICSE,14
conf_icse_MattmannCMH06,ICSE,14
conf_icse_Reiss96,ICSE,14
conf_icse_VerbaereEM06,ICSE,14
conf_icse_SubramanianIH14,ICSE,14
conf_icse_CassouBCL11,ICSE,14
conf_icse_Devanbu92,ICSE,14
conf_icse_DesaiGHJKMRR16,ICSE,14
conf_icse_CaiWC14,ICSE,14
conf_vldb_ChaudhuriGN03,VLDB,14
conf_vldb_KrishnaprasadLMWAK04,VLDB,14
conf_vldb_NagarajanAP04,VLDB,14
conf_vldb_LinnemannKDPEKSWW88,VLDB,14
conf_vldb_FlorescuHKLRWCSA03,VLDB,14
conf_vldb_McKennaBHT96,VLDB,14
conf_vldb_DeshpandeG88,VLDB,14
conf_vldb_BerckenS96,VLDB,14
conf_jcdl_MischoHC02,JCDL,13
conf_sigir_Claybrook73,SIGIR,13
conf_sigir_Schek84,SIGIR,13
conf_sigir_PintoMWC03,SIGIR,13
conf_ercimdl_AyresBH04,ECDL,13
conf_ercimdl_LiuBHS05,ECDL,13
conf_trec_OardHTB08,TREC,13
conf_trec_Litkowski05,TREC,13
conf_trec_AronsonDHLRRSTWL05,TREC,13
conf_trec_HershCRR06,TREC,13
conf_trec_YaoXN08,TREC,13
conf_trec_LoseySR15,TREC,13
conf_trec_StoberHFFKRJ15,TREC,13
conf_trec_GoodwinRRH11,TREC,13
conf_trec_OsborneCSSWCMRA03,TREC,13
conf_trec_KayaalpAHITSDLMB03,TREC,13
conf_icwsm_Guha0DKV16,ICWSM,13
conf_esws_HausenblasHRFA09,ESWC,13
conf_esws_MollerRS09,ESWC,13
conf_esws_LangeIDBSKA12,ESWC,13
conf_esws_KuhnD14,ESWC,13
conf_www_KarimzadehganLZM11,WWW,13
conf_www_AkhaweAVS13,WWW,13
conf_www_FournyPFKKM09,WWW,13
conf_www_SchuelerSST08,WWW,13
conf_www_JacksonW07,WWW,13
conf_www_YangWGLWZ08,WWW,13
conf_www_CoenMV04,WWW,13
conf_www_HeymannG11,WWW,13
conf_www_JehojBG05,WWW,13
conf_www_XieFPVR09,WWW,13
conf_icse_BianculliGP11,ICSE,13
conf_icse_MeiCT08,ICSE,13
conf_icse_HolmesM05,ICSE,13
conf_icse_LeeCR11,ICSE,13
conf_icse_DangK99,ICSE,13
conf_icse_AlrajehLKRU16,ICSE,13
conf_vldb_OzsoyogluAAOUO02,VLDB,13
conf_vldb_GuravannavarRS05,VLDB,13
conf_vldb_Kiessling85,VLDB,13
conf_vldb_WangM90,VLDB,13
conf_vldb_BrownS95,VLDB,13
conf_vldb_MadhavanBR01,VLDB,13
conf_vldb_PuKH88,VLDB,13
conf_vldb_HuSS07,VLDB,13
conf_vldb_LingatNR87,VLDB,13
conf_vldb_Koch03,VLDB,13
conf_vldb_HuangJR97,VLDB,13
conf_vldb_WhangN87,VLDB,13
conf_vldb_BoralR85,VLDB,13
conf_vldb_SeshadriLR96,VLDB,13
conf_jcdl_SandersonASS11,JCDL,12
conf_jcdl_YanL07,JCDL,12
conf_jcdl_Muir01,JCDL,12
conf_jcdl_BartonCJ05,JCDL,12
conf_jcdl_HolzmannGA16,JCDL,12
conf_sigir_FoxFSDC93,SIGIR,12
conf_sigir_QumsiyehN12,SIGIR,12
conf_sigir_NiuGLC12,SIGIR,12
conf_sigir_ZhangZYZZKWH16,SIGIR,12
conf_sigir_LiuSCNW12,SIGIR,12
conf_ercimdl_CanosLMB08,ECDL,12
conf_ercimdl_Wegner00a,ECDL,12
conf_ercimdl_RadevBZR01,ECDL,12
conf_ercimdl_RaghavanVSGFF05,ECDL,12
conf_trec_Collins-ThompsonOZC02,TREC,12
conf_trec_HershCRR07,TREC,12
conf_trec_TomlinsonB00,TREC,12
conf_trec_Demner-FushmanHILMRRSWA07,TREC,12
conf_trec_ArampatzisKKN07,TREC,12
conf_trec_ShiGPS05,TREC,12
conf_trec_FallenNM08,TREC,12
conf_trec_AhnBKNWC05,TREC,12
conf_trec_HicklWBRSR06,TREC,12
conf_trec_NybergFMBHHKLLPS05,TREC,12
conf_trec_Dean-HallCSKTV13,TREC,12
conf_trec_AronsonHIKLMSTWXDL04,TREC,12
conf_trec_ZhaoLL07,TREC,12
conf_esws_Scott14,ESWC,12
conf_esws_OsenbergLB15,ESWC,12
conf_esws_KampgenWOWH14,ESWC,12
conf_esws_ValletFC05,ESWC,12
conf_esws_KontokostasMDEL16,ESWC,12
conf_esws_BruggemannBXK16,ESWC,12
conf_www_PriyatnaCS14,WWW,12
conf_www_JinSMH10,WWW,12
conf_www_FilliesWW02,WWW,12
conf_www_SunMHYSY16,WWW,12
conf_www_GrosofP03,WWW,12
conf_www_YinGSV16,WWW,12
conf_www_CzeskisMKW13,WWW,12
conf_www_WangYH09,WWW,12
conf_www_GeorgievJS15,WWW,12
conf_www_NikiforakisJL15,WWW,12
conf_www_SubramanianM01,WWW,12
conf_www_ZhouII04,WWW,12
conf_www_LukoseATS03,WWW,12
conf_www_JinVL08,WWW,12
conf_www_SeidenbergR06,WWW,12
conf_www_Betin-CanBF05,WWW,12
conf_www_ChristophidesPST03,WWW,12
conf_www_PasternackR13,WWW,12
conf_www_NgomoBULG13,WWW,12
conf_www_LamR04,WWW,12
conf_www_GuhaMM03,WWW,12
conf_icse_HendersonW85,ICSE,12
conf_icse_ClemmensenO84,ICSE,12
conf_icse_BrackettEHT79,ICSE,12
conf_icse_DongLLW04,ICSE,12
conf_icse_HatcliffDDJR03,ICSE,12
conf_icse_YuSR14,ICSE,12
conf_icse_StoreyRBMS08,ICSE,12
conf_icse_OkurHDD14,ICSE,12
conf_icse_AlmesBBW84,ICSE,12
conf_icse_GalensonRBHS14,ICSE,12
conf_icse_DagenaisR08,ICSE,12
conf_icse_Lamsweerde00,ICSE,12
conf_icse_ScherlHKH08,ICSE,12
conf_icse_LiLGH16,ICSE,12
conf_icse_GrechanikXF09,ICSE,12
conf_icse_WeinsbergB02,ICSE,12
conf_vldb_DiaoF03,VLDB,12
conf_vldb_DeRoseSCDR07,VLDB,12
conf_vldb_GehrkeRG98,VLDB,12
conf_vldb_LingatCR88,VLDB,12
conf_vldb_MeoPC96,VLDB,12
conf_vldb_BainaBPTRRH04,VLDB,12
conf_vldb_KonopnickiS95,VLDB,12
conf_vldb_DidriksenGD95,VLDB,12
conf_vldb_MehtaD95,VLDB,12
conf_vldb_RezendeH98,VLDB,12
conf_vldb_SimonKM92,VLDB,12
conf_vldb_SullivanS91,VLDB,12
