paper_name,number_occurances,weighted_occurances
c02-1045,43,45
c04-1080,32,33
tud-lte,20,32
c04-1068,17,19
c04-1112,14,16
c04-1036,10,12
c04-1106,7,12
c04-1035,6,10
c04-1116,6,8
s15-1005,6,8
p05-2008,5,8
c04-1096,4,8
l12-1289,4,8
p04-2005,4,8
p04-2010,4,8
p09-3005,4,7
p15-1004,4,7
s15-2045,4,6
w11-3707,4,6
c04-1128,3,6
c08-1124,3,6
c10-1133,3,6
c10-2135,3,6
i05-2021,3,6
p03-1030,3,6
p05-1046,3,6
p06-2012,3,6
p06-3007,3,6
s12-1001,3,6
w05-0628,3,6
w09-2423,3,6
w12-5614,3,4
c04-1192,2,4
c08-2017,2,4
c14-1015,2,4
h01-1055,2,4
h05-1005,2,4
h05-1064,2,4
k15-1031,2,4
n03-1012,2,4
n04-4028,2,4
n12-1074,2,4
p01-1008,2,4
p05-1010,2,4
p05-1034,2,4
p05-1048,2,4
p05-1053,2,4
p05-1067,2,4
p05-1074,2,4
p06-2059,2,4
s15-1003,2,4
w14-1702,2,4
c04-1138,1,2
d07-1106,1,2
e09-1052,1,2
h01-1042,1,2
h05-1012,1,2
i05-2013,1,2
i05-2044,1,2
i05-4007,1,2
j16-1001,1,2
n01-1003,1,2
n03-1004,1,2
n03-1017,1,2
n03-1033,1,2
n04-1024,1,2
n06-2038,1,2
n07-1012,1,2
n09-1022,1,2
p01-1004,1,2
p01-1070,1,2
p03-1002,1,2
p03-1005,1,2
p03-1033,1,2
p03-1050,1,2
p03-1058,1,2
p03-1068,1,2
p03-2036,1,2
p05-1039,1,2
p05-1056,1,2
p05-1073,1,2
p05-1076,1,2
p05-2013,1,2
p06-1013,1,2
p06-2110,1,2
p06-4011,1,2
p07-1019,1,2
p13-4032,1,2
w06-1659,1,2
w06-1902,1,2
w07-1013,1,2
w10-1202,1,2
w12-6214,1,2
c04-1103,0,0
c04-1147,0,0
e06-1004,0,0
e06-1018,0,0
e06-1022,0,0
e06-1031,0,0
e06-1035,0,0
e06-1041,0,0
h01-1001,0,0
h01-1040,0,0
h01-1041,0,0
h01-1049,0,0
h01-1058,0,0
h01-1068,0,0
h01-1070,0,0
h05-1032,0,0
h05-1095,0,0
h05-1101,0,0
h05-1115,0,0
h05-1117,0,0
i05-2014,0,0
i05-2043,0,0
i05-3022,0,0
i05-4008,0,0
i05-4010,0,0
i05-5003,0,0
i05-5004,0,0
i05-5008,0,0
i05-5009,0,0
j02-3005,0,0
l14-1016,0,0
n03-1001,0,0
n03-1018,0,0
n03-1026,0,0
n03-3010,0,0
n04-1022,0,0
n06-2009,0,0
n06-4001,0,0
n13-1101,0,0
p01-1007,0,0
p01-1009,0,0
p01-1047,0,0
p01-1056,0,0
p03-1009,0,0
p03-1022,0,0
p03-1031,0,0
p03-1051,0,0
p03-1070,0,0
p05-1018,0,0
p05-1028,0,0
p05-1032,0,0
p05-1057,0,0
p05-1058,0,0
p05-1069,0,0
p05-2016,0,0
p05-3001,0,0
p05-3025,0,0
p05-3030,0,0
p06-1018,0,0
p06-1052,0,0
p06-2001,0,0
p06-4007,0,0
p06-4014,0,0
p08-1107,0,0
r11-1079,0,0
w07-0709,0,0
w08-0410,0,0
w10-3411,0,0
w12-1010,0,0
w12-3505,0,0
