paper_name,number_terms
C02-1045,2
C04-1035,1
C04-1036,2
C04-1068,2
C04-1080,1
C04-1096,0
C04-1103,0
C04-1106,0
C04-1112,2
C04-1116,0
C04-1128,3
C04-1138,1
C04-1147,0
C04-1192,2
C08-1124,3
C08-2017,2
C10-1133,3
C10-2135,3
C14-1015,2
D07-1106,1
E06-1004,0
E06-1018,0
E06-1022,0
E06-1031,0
E06-1035,0
E06-1041,0
E09-1052,1
H01-1001,0
H01-1040,0
H01-1041,0
H01-1042,1
H01-1049,0
H01-1055,2
H01-1058,0
H01-1068,0
H01-1070,0
H05-1005,2
H05-1012,1
H05-1032,0
H05-1064,2
H05-1095,0
H05-1101,0
H05-1115,0
H05-1117,0
I05-2013,1
I05-2014,0
I05-2021,3
I05-2043,0
I05-2044,1
I05-3022,0
I05-4007,1
I05-4008,0
I05-4010,0
I05-5003,0
I05-5004,0
I05-5008,0
I05-5009,0
J02-3005,0
J16-1001,1
K15-1031,2
L12-1289,4
L14-1016,0
N01-1003,1
N03-1001,0
N03-1004,1
N03-1012,2
N03-1017,1
N03-1018,0
N03-1026,0
N03-1033,1
N03-3010,0
N04-1022,0
N04-1024,1
N04-4028,2
N06-2009,0
N06-2038,1
N06-4001,0
N07-1012,1
N09-1022,1
N12-1074,2
N13-1101,0
P01-1004,1
P01-1007,0
P01-1008,2
P01-1009,0
P01-1047,0
P01-1056,0
P01-1070,1
P03-1002,1
P03-1005,1
P03-1009,0
P03-1022,0
P03-1030,3
P03-1031,0
P03-1033,1
P03-1050,1
P03-1051,0
P03-1058,1
P03-1068,1
P03-1070,0
P03-2036,1
P04-2005,4
P04-2010,4
P05-1010,2
P05-1018,0
P05-1028,0
P05-1032,0
P05-1034,2
P05-1039,1
P05-1046,3
P05-1048,2
P05-1053,2
P05-1056,1
P05-1057,0
P05-1058,0
P05-1067,2
P05-1069,0
P05-1073,1
P05-1074,2
P05-1076,1
P05-2008,5
P05-2013,1
P05-2016,0
P05-3001,0
P05-3025,0
P05-3030,0
P06-1013,1
P06-1018,0
P06-1052,0
P06-2001,0
P06-2012,3
P06-2059,2
P06-2110,1
P06-3007,3
P06-4007,0
P06-4011,1
P06-4014,0
P07-1019,1
P08-1107,0
P09-3005,4
P13-4032,1
P15-1004,4
R11-1079,0
S12-1001,3
S15-1003,2
S15-1005,6
S15-2045,4
TUD-LTE,12
W05-0628,3
W06-1659,1
W06-1902,1
W07-0709,0
W07-1013,1
W08-0410,0
W09-2423,3
W10-1202,1
W10-3411,0
W11-3707,4
W12-1010,0
W12-3505,0
W12-5614,3
W12-6214,1
W14-1702,2
