paper_id,number_occurances,weighted_occurances
conf_www_sensw04,31,31
conf_icse_dietldems11,29,30
conf_trec_bellotcegl02,29,29
conf_vldb_levyms94,28,28
conf_ercimdl_payettel98,27,27
conf_icse_sohngslcsc06,26,26
conf_vldb_x00a,25,25
conf_vldb_rowes87,25,25
conf_vldb_lyngbaekm83,25,25
conf_sigir_sonnenbergerf95,24,24
conf_esws_kontokostasbhli14,24,24
conf_www_mikaogs04,23,23
conf_icse_gerhart84,23,23
conf_icse_xiaockmf16,23,23
conf_vldb_biveinissj07,23,23
conf_trec_soboroffvc06,22,22
conf_www_amer-yahiabs04,22,22
conf_icse_teitelman84,22,22
conf_sigir_violan05,21,21
conf_www_burszteinsbm12,21,21
conf_icse_perry89,21,21
conf_trec_martinezoa12,20,20
conf_vldb_gutierrezpst94,20,20
conf_vldb_kim93,20,20
conf_esws_preecejpmesb06,19,19
conf_esws_juppbs09,19,19
conf_www_ebermancmg02,19,19
conf_www_cardinaelsmd05,19,19
conf_www_malzxlx15,19,19
conf_icse_marsic01,19,19
conf_icse_nittor99,19,19
conf_vldb_bohannoneff06,19,19
conf_jcdl_hunterc04,18,18
conf_sigir_winograd73,18,18
conf_esws_mayqxpl06,18,18
conf_icse_nearj16,18,18
conf_icse_qintnl16,18,18
conf_icse_nguyennnn11,18,18
conf_vldb_chongdes05,18,18
conf_vldb_rothermelm89,18,18
conf_vldb_lynch88,18,18
conf_vldb_chaudhuridhw04,18,18
conf_sigir_hasanuzzaman0df15,17,17
conf_trec_leels07,17,17
conf_trec_abou-assalehcdkw05,17,17
conf_esws_aleman-mezabbbmnpz07,17,17
conf_www_lih03,17,17
conf_www_bellasfm04,17,17
conf_www_patilosv04,17,17
conf_icse_reiss84,17,17
conf_icse_bishop06,17,17
conf_icse_yuanm07,17,17
conf_icse_prechelth03,17,17
conf_vldb_careyjl89,17,17
conf_vldb_gardarinckps89,17,17
conf_vldb_yana94,17,17
conf_vldb_kent91,17,17
conf_ercimdl_shengff05,16,16
conf_trec_grunfeldkdd03,16,16
conf_trec_balogsv10,16,16
conf_esws_grimmkln07,16,16
conf_esws_simonwmm13,16,16
conf_esws_ramollarikds09,16,16
conf_esws_lomuscios09,16,16
conf_www_cahnabm16,16,16
conf_www_guptaglswz13,16,16
conf_icse_blum84,16,16
conf_icse_rahmand13,16,16
conf_icse_futatsugigmo87,16,16
conf_vldb_onosebc07,16,16
conf_vldb_goldsh85,16,16
conf_vldb_bernsteinhssz97,16,16
conf_jcdl_gronbaekrsb06,15,15
conf_jcdl_lacastalrn14,15,15
conf_sigir_sagss16,15,15
conf_sigir_greiffct97,15,15
conf_ercimdl_halbertkh03,15,15
conf_trec_blottcfggjmoswbs04,15,15
conf_trec_dayanikfgkmlm04,15,15
conf_trec_reddzbrr12,15,15
conf_esws_wangxzy07,15,15
conf_esws_garsholb13,15,15
conf_esws_callahancad13,15,15
conf_www_cardonest05,15,15
conf_www_oldhamvsh06,15,15
conf_www_suntmg07,15,15
conf_www_dodsonvpcl12,15,15
conf_icse_peuschels92,15,15
conf_icse_demskyr02,15,15
conf_icse_tonellatn14,15,15
conf_icse_ellissm07,15,15
conf_icse_dashofyht02,15,15
conf_icse_hasankhsah16,15,15
conf_icse_dekelh09,15,15
conf_icse_cugolanf98,15,15
conf_icse_lorenzv03,15,15
conf_icse_friasgpa05,15,15
conf_icse_wongckd11,15,15
conf_icse_kazmanak01,15,15
conf_icse_ernstlmst16,15,15
conf_icse_yangsak04,15,15
conf_vldb_georgeh98,15,15
conf_vldb_litje07,15,15
conf_vldb_limww07,15,15
conf_vldb_bernsteinps99,15,15
conf_vldb_cerifp99,15,15
conf_vldb_dasces04,15,15
conf_vldb_witkowskick93,15,15
conf_vldb_moserkk95,15,15
conf_vldb_harizopouloslam06,15,15
conf_jcdl_jerezlhs04,14,14
conf_jcdl_dakkag07,14,14
conf_jcdl_sandersons10,14,14
conf_jcdl_wittenbb01,14,14
conf_ercimdl_velegrakiscc99,14,14
conf_trec_litkowski04,14,14
conf_trec_doucsmsw09,14,14
conf_trec_tomlinson01,14,14
conf_trec_demeestertnhz14,14,14
conf_esws_boerwghios12,14,14
conf_esws_dimitrovsmk07,14,14
conf_esws_brennanfmbtwfcg16,14,14
conf_www_krishnamurthymw10,14,14
conf_www_hangt10,14,14
conf_www_kaminskikg16,14,14
conf_www_bianllzz10,14,14
conf_www_mittalcgm08,14,14
conf_www_atreczh10,14,14
conf_www_al-masrim08,14,14
conf_icse_youlszwxz16,14,14
conf_icse_devanbuj94,14,14
conf_icse_degiovanniaau14,14,14
conf_icse_mattmanncmh06,14,14
conf_icse_reiss96,14,14
conf_icse_verbaereem06,14,14
conf_icse_subramanianih14,14,14
conf_icse_cassoubcl11,14,14
conf_icse_devanbu92,14,14
conf_icse_desaighjkmrr16,14,14
conf_icse_caiwc14,14,14
conf_vldb_chaudhurign03,14,14
conf_vldb_krishnaprasadlmwak04,14,14
