paper_id,number_terms
conf_trec_0001W12,4
conf_trec_AbberleyRER99,4
conf_trec_AbdouSR05,6
conf_trec_Abou-AssalehCDKW05,16
conf_trec_AhnBCDLSWC04,7
conf_trec_AhnBKNWC05,9
conf_trec_Aliod03,5
conf_trec_Allan03,5
conf_trec_AllanCDAPK07,8
conf_trec_AlmquistHSAS07,8
conf_trec_AlmquistMHS08,9
conf_trec_AmatiA0MBGGCNF11,9
conf_trec_AmatiBDCGS08,5
conf_trec_AmatiCR01,3
conf_trec_AminiSLM12,10
conf_trec_AminiSML11,9
conf_trec_AmitayCDHLSKZ03,5
conf_trec_AnghelescuBLMNK02,5
conf_trec_AppelMLS12,7
conf_trec_ArampatzisKKN07,9
conf_trec_AraujoGHBV12,11
conf_trec_AronsonDHLRRSTWL05,11
conf_trec_AronsonHIKLMSTWXDL04,12
conf_trec_AslamPR06,8
conf_trec_AssisYSC05,5
conf_trec_Attardi05,8
conf_trec_AttardiCFST01,5
conf_trec_AttardiEP04,8
conf_trec_AttardiS06,12
conf_trec_BagdouriO15,11
conf_trec_BaileyAK07,7
conf_trec_BalogMR06,1
conf_trec_BalogSV10,16
conf_trec_BalogSV11,11
conf_trec_BaronLO06,8
conf_trec_BaruahGRV13,9
conf_trec_BedrickECH12,5
conf_trec_BeigbederM05,5
conf_trec_BelkinCCLLLMSSYZ04,5
conf_trec_BelkinCGLLMSTYR05,7
conf_trec_BelkinCJKKKLTY01,4
conf_trec_BelloginGHSSVLV13,8
conf_trec_BellotCEGL02,27
conf_trec_Bennett11,2
conf_trec_BennettTE99,3
conf_trec_BerendsenMORW12,3
conf_trec_BergerL99,4
conf_trec_BerminghamSFH08,4
conf_trec_BernsteinBGLSZW05,9
conf_trec_BhalotiaNSH03,6
conf_trec_BhandariKK14,5
conf_trec_BillerbeckCCLWWYZ04,11
conf_trec_Blair-GoldensohnMS03,6
conf_trec_BlottCFGGJMOSWBS04,14
conf_trec_BoldiV05,5
conf_trec_BoniJM02,2
conf_trec_BonnefoyB11,6
conf_trec_BonnefoyBB10,6
conf_trec_BosGC07,7
conf_trec_BoytsovB11,7
conf_trec_BronHHMRTW10,5
conf_trec_BrownDH03,13
conf_trec_BrowneCGJLMMMOSY02,8
conf_trec_BruijnM03,10
conf_trec_BuccioM14,6
conf_trec_Buckley05,6
conf_trec_Buckley07,8
conf_trec_BurgerB05,4
conf_trec_BurgerFGHMML02,7
conf_trec_ButtcherCC04,10
conf_trec_ButtcherCCLC07,2
conf_trec_ButtcherCS06,4
conf_trec_CanoSG14,5
conf_trec_CaoGYLLC11,5
conf_trec_CarmelA06,7
conf_trec_Carpenter04,6
conf_trec_CarterettePFK09,5
conf_trec_CatonaES00,4
conf_trec_ChalendarDEFGHIMRV02,6
conf_trec_ChaliJ07,7
conf_trec_ChandarKMTC09,2
conf_trec_ChandrashekharaFC02,6
conf_trec_ChenCD0MOSY15,7
conf_trec_ChenDTMOYL01,4
conf_trec_ChenG01,4
conf_trec_ChenJG00,5
conf_trec_ChenYG05,7
conf_trec_ChowdhuryAJBGF02,5
conf_trec_Chu-CarrollADGMPHW06,12
conf_trec_Chu-CarrollDPC05,5
conf_trec_Chu-CarrollPWCF02,7
conf_trec_ChuCCDHKSSSWY07,5
conf_trec_ClarkeCS04,3
conf_trec_ClarkeCS09,6
conf_trec_CliftonCT03,8
conf_trec_CogleySDC12,7
conf_trec_CohenBH04,8
conf_trec_CohenYFRH07,5
conf_trec_Collins-ThompsonOZC02,11
conf_trec_CrangleZCH04,9
conf_trec_CraswellFNRY09,6
conf_trec_CraswellHUMWW03,8
conf_trec_CraswellHWW01,7
conf_trec_CraswellHWW03,5
conf_trec_DaltonD12,6
conf_trec_DamakJCPTB11,5
conf_trec_DangKL07,6
conf_trec_DangMMIKM15,6
conf_trec_DarwishDJOR01,0
conf_trec_DayanikFGKMLM04,14
conf_trec_DayanikGKLM05,4
conf_trec_DayanikNO03,8
conf_trec_Dean-HallCKTV12,9
conf_trec_Dean-HallCKTV14,8
conf_trec_Dean-HallCSKTV13,12
conf_trec_DemeesterTNH13,13
conf_trec_DemeesterTNHZ14,18
conf_trec_Demner-FushmanAJLRLIAA11,7
conf_trec_Demner-FushmanHILMRRSWA07,9
conf_trec_Demner-FushmanHILSTWADRR06,8
conf_trec_DeveaudSB12,5
conf_trec_DiazBAP12,5
conf_trec_DiekemaCMOTYL02,5
conf_trec_DietzV14,6
conf_trec_DijkRKR15,4
conf_trec_DivoliHNS06,12
conf_trec_DorffWC06,4
conf_trec_DouCSMSW09,14
conf_trec_DucDDDD12,6
conf_trec_EfronDOSL12,4
conf_trec_EfronWOBLI13,4
conf_trec_EichmannSLWQAS03,5
conf_trec_EichmannZBQZSSW04,7
conf_trec_El-GanainyMGW13,5
conf_trec_ElsasACC07,4
conf_trec_Elworthy00,3
conf_trec_EvansSRBSSMHT02,6
conf_trec_EvansSTRSSMBG01,6
conf_trec_FallenN05,3
conf_trec_FallenN07,5
conf_trec_FallenNM08,9
conf_trec_FangSYXX09,6
conf_trec_FergusonGSW05,4
conf_trec_FerresKDGAFRST05,7
conf_trec_FerretGHIMRV01,5
conf_trec_FerretGIJM99,7
conf_trec_ForstTR06,5
conf_trec_FranzMW99,3
conf_trec_Fujita00,6
conf_trec_Fujita04,7
conf_trec_FullerKKNWWZ99,2
conf_trec_GaizauskasGHHSS05,5
conf_trec_GaizauskasGHRS04,5
conf_trec_GaizauskasGHRSS03,9
conf_trec_GaoB14,4
conf_trec_GaoCHZNWR01,6
conf_trec_GaoNZXSZH00,5
conf_trec_GarbaceaK15,7
conf_trec_GarciaLSS06,7
conf_trec_GarofoloAV99,7
conf_trec_GarronK10,8
conf_trec_GauvainKLA99,3
conf_trec_Geller04,4
conf_trec_GeyJ99,4
conf_trec_GhenaiKVC15,6
conf_trec_GiachanouCM14,8
conf_trec_GirmayD14,8
conf_trec_GobeillGPR14,7
conf_trec_GobeillGRPTV11a,7
conf_trec_GoldbergAGSZC06,7
conf_trec_GoodwinH14,9
