paper_id,number_entities,year,ee,dblpkey,journal,title,type,entities_array
conf_trec_BellotCEGL02,28,2002,http://trec.nist.gov/pubs/trec11/papers/lia.sinequa.pdf,conf_trec_BellotCEGL02,TREC,"'Coupling_Named_Entity_Recognition,_Vector-Space_Model_and_Knowledge_Bases_for_TREC_11_Question_Answering_Track.'",inproceedings,SEASON;CURRENCY;COMPANY;MUSICIAN;MOUNTAIN;POLITICIAN;VEGETAL;Hoover;CONTINENT;PERCENTAGE;HEIGHT;TREC-10;DIAMETER;INVENTOR;COUNTY;HEMISPHERE;MONEY;DURATION;DEPTH;RIVER;SIAC;COUNTRY;TREC-11;WRITER;PLANET;SPORTSMAN;MINERAL;BIOGRAPHY
conf_vldb_LevyMS94,28,1994,http://www.vldb.org/conf/1994/P096.PDF,conf_vldb_LevyMS94,VLDB,'Query_Optimization_by_Predicate_Move-Around.',inproceedings,IPTBBBECTIOB;IBTEBSECTIOll;SRLECT;GBOUPBY;UBION;HAVIMG;FromTel;UBBBB;Moving;IRTERSECTIOH;StartingDate;OwnerName;SponsorName;BAVIBG;LIISE;UserName;EXCEPT;GROUPBY;BAVIYG;WHERE;GBOGPBY;AccessCode;SELECT;EXISTS;HAVIBG;UBIOP;StartTime;MaxLen
conf_vldb_X00a,25,2000,http://www.vldb.org/conf/2000/aindex.pdf,conf_vldb_X00a,VLDB,'Author_Index.',inproceedings,Daniela;Amarnath;Hongjun;Khaled;Yossi;Zengping;Marco;Raghu;Christos;Gustavo;Bertram;Francois;Kenneth;Matthias;Jennifer;Elvira;Xiaobin;Valerie;Joerg;Songting;Dimitris;Erhard;Krithi;Andrey;Debra
conf_vldb_RoweS87,25,1987,http://www.vldb.org/conf/1987/P083.PDF,conf_vldb_RoweS87,VLDB,'The_POSTGRES_Data_Model.',inproceedings,Suppose;PERSON;EMPLOYEE;STUDEMP;Comp;DisplayFormat;MakeForm;NumberOfRows;IPLEntry;Majors;POSTQUEL;AgeZnYears;RelationName;DataType;POSTGRES;FieldName;Negator;AttrType;STUDENT;PROCDEF;ColumnName;ArgName;FormName;FieldKind;Name
conf_vldb_LyngbaekM83,25,1983,http://www.vldb.org/conf/1983/P364.PDF,conf_vldb_LyngbaekM83,VLDB,'An_Approach_to_Object_Sharing_in_Distributed_Datbase_Systems.',inproceedings,DELETE;RELATE;OBJECTS;Payroll;sps.cified;REVOKE;DOOM DOOM is;Tsichritzis;Kimbleton;RELAY;Btrees;CREATE;IDENTIFIER;RELATIONSHIPS;Andler;PRINT;DOOM;Smith;Ethernet;DETACH;DEFINE;PFINT;DODM;ISOBJECT;EXPORT
conf_vldb_BiveinisSJ07,23,2007,http://www.vldb.org/conf/2007/papers/research/p591-biveinis.pdf,conf_vldb_BiveinisSJ07,VLDB,'Main-Memory_Operation_Buffering_for_Efficient_R-Tree_Update.',inproceedings,Taylor;CHILD;IntegrateChild;UPDATE;EmptyBuffer;EMPTYBUFFER;GROUPOPERATIONS;SEARCH;GROUPUPDATE;TPR-tree;GroupUpdate;LEMMA;PIGGYBACK;GPS-equipped;INSERTSUBTREE;THEOREM;PUSHDOWNOPS;INTEGRATECHILD;GETPUSHDOWNOPS;RUM-tree;MERGESUBTREES;Smax;GROUPSPLIT
conf_trec_SoboroffVC06,22,2006,http://trec.nist.gov/pubs/trec15/papers/ENT06.OVERVIEW.pdf,conf_trec_SoboroffVC06,TREC,'Overview_of_the_TREC_2006_Enterprise_Track.',inproceedings,PageRank;WordNet;ETREC;MAPTrelCret;UvAbase;DaLian;BM25;Dirichlet;UvAprofiling;UMaTiMixHdr;Terrier;UMaTDMixThr;MAPCrelTret;OnLoad;UAmsBase;SOPHIA;NIST;Craswell;UMaTiMixThr;TREC;PageRanks;UAmsPOSBase
conf_trec_MartinezOA12,20,2012,http://trec.nist.gov/pubs/trec21/papers/NICTA.medical.final.pdf,conf_trec_MartinezOA12,TREC,'NICTA_and_UBC_at_the_TREC_2012_Medical_Track.',inproceedings,"MRREL;COMBINED;UMLS Metathesaurus (;PageRank;NICTA;UMLS Metathesaurus The;VISIT;BM25;UMLS Metathesaurus is;MRCOC;UMLS;UMLS Metathesaurus ,;TREC-2011;DbPedia;TREC-2012;MetaMap;NegEx;UMLS Metathesaurus also;MetaMap-;DBpedia"
conf_vldb_GutierrezPST94,20,1994,http://www.vldb.org/conf/1994/P391.PDF,conf_vldb_GutierrezPST94,VLDB,'Database_Graph_Views:_A_Practical_Model_to_Manage_Persistent_Graphs.',inproceedings,CityName;CityTrain;Incidence;LabelNode;NodeLabelTypel;EdgeLabelType;RoadType;EdgeIdTypel;NodeLabelType;NodeIdType;PQNode;EdgeIdType;LabelNodei;LabelEdgei;LabelEdge;IMPRESS;BuildNodeSet;SQLlike;DBMS;CityRoad
conf_vldb_Kim93,20,1993,http://www.vldb.org/conf/1993/P676.PDF,conf_vldb_Kim93,VLDB,"'Object-Oriented_Database_Systems:_Promises,_Reality,_and_Future.'",inproceedings,OpenODB;databa.scs;OODBs;ANSI;OSQL;FORTRAN;UniSQLJM;MDBS;COBOL;UniSQLJXgeneralizesandextendsthissimpledatamodel;ObjectStore;SalcsEmploycc;OODlls;UniSQIJX;RDBs;UniSQW;UniSQWM;clas.ses;Microsoft;OOPL
