paper_id,number_occurances,weighted_occurances
conf_trec_bellotcegl02,55,82
conf_vldb_x00a,50,75
conf_vldb_rowes87,49,73
conf_vldb_lyngbaekm83,47,69
conf_trec_soboroffvc06,43,64
conf_vldb_biveinissj07,38,56
conf_trec_martinezoa12,38,53
conf_vldb_levyms94,36,50
conf_vldb_gutierrezpst94,34,49
conf_trec_leels07,33,49
conf_trec_abou-assalehcdkw05,33,48
conf_vldb_chaudhuridhw04,32,48
conf_trec_balogsv10,32,47
conf_trec_demeestertnhz14,32,46
conf_www_sensw04,31,44
conf_trec_reddzbrr12,31,44
conf_vldb_rothermelm89,30,44
conf_trec_grunfeldkdd03,30,43
conf_icse_dietldems11,29,43
conf_trec_blottcfggjmoswbs04,29,43
conf_trec_dayanikfgkmlm04,29,42
conf_trec_litkowski04,29,42
conf_trec_doucsmsw09,28,41
conf_trec_litkowski05,28,41
conf_ercimdl_payettel98,27,40
conf_trec_tomlinson01,27,39
conf_trec_oardhtb08,27,39
conf_trec_kayaalpahitsdlmb03,27,39
conf_icse_sohngslcsc06,26,38
conf_trec_hershcrr06,26,38
conf_trec_loseysr15,26,38
conf_trec_goodwinrrh11,26,37
conf_vldb_kim93,25,37
conf_vldb_lynch88,25,36
conf_trec_stoberhffkrj15,25,36
conf_trec_osbornecsswcmra03,25,36
conf_trec_hershcrr07,25,35
conf_trec_shigps05,25,35
conf_trec_nybergfmbhhkllps05,25,35
conf_sigir_sonnenbergerf95,24,35
conf_esws_kontokostasbhli14,24,35
conf_trec_aronsondhlrrstwl05,24,34
conf_trec_dean-hallcsktv13,24,34
conf_trec_aronsonhiklmstwxdl04,24,33
conf_www_mikaogs04,23,33
conf_icse_gerhart84,23,33
conf_icse_xiaockmf16,23,33
conf_trec_collins-thompsonozc02,23,33
conf_trec_voorhees02,23,32
conf_trec_voorhees03,23,32
