timestamp,type,word_text,entity_text,relevant,facet,word_id,pdf_term_id,entity_id,paper_id,page_number,user_id,_id
'2018-03-05T11:02:52','occurrence','related','related entity finding','irrelevant','method','w-1-0-0-271','4571811512','4569018832','conf_trec_BalogSV10','0','user_2','e25f6152-973d-4d23-b8da-c2a9cb29f0ef'
'2018-03-05T11:03:51','occurrence','clueweb','clueweb','irrelevant','method','w-1-0-0-342','4574586584','4571727576','conf_trec_BalogSV10','0','user_2','16991bf0-6f46-4ce5-8e0d-8b979fbb9387'
'2018-03-05T11:03:52','occurrence','clueweb','clueweb','relevant','dataset','w-1-0-0-342','4376549808','4370962584','conf_trec_BalogSV10','0','user_2','d6f9b98e-4c92-444b-b521-88787e838cc7'
'2018-03-05T11:04:16','occurrence','wikipedia','wikipedia','irrelevant','method','w-1-0-0-410','4574561896','4571726904','conf_trec_BalogSV10','0','user_2','d9749259-0e31-4bde-8191-e29c97b75e8f'
'2018-03-05T11:04:17','occurrence','wikipedia','wikipedia','relevant','dataset','w-1-0-0-410','4373776144','4370963424','conf_trec_BalogSV10','0','user_2','0c61e25c-6bc2-4137-9282-da1fba6edacc'
'2018-03-05T11:04:50','occurrence','linked','linked open data','relevant','method','w-1-0-0-511','4574537432','4571725896','conf_trec_BalogSV10','0','user_2','0f78efd8-65b6-4c44-820f-82b20011cb3d'
'2018-03-05T11:05:22','occurrence','uris','uris','irrelevant','method','w-1-0-0-581','4574538104','4571725952','conf_trec_BalogSV10','0','user_2','10d67b97-2ba6-4d52-8f3a-8b3864f11adb'
'2018-03-05T11:05:24','occurrence','uris','uris','irrelevant','dataset','w-1-0-0-581','4373844208','4370963536','conf_trec_BalogSV10','0','user_2','f16f0a30-c1c9-427b-ad41-5c454ea09bbd'
'2018-03-05T11:05:34','occurrence','semantic','semantic web crawl','irrelevant','method','w-1-0-0-584','4574539112','4571726400','conf_trec_BalogSV10','0','user_2','aa02dac4-bf75-4d1e-969a-2d21ad8a0043'
'2018-03-05T11:06:38','occurrence','fdwim','fdwim','irrelevant','dataset','w-1-0-7-128','4373775808','4370963368','conf_trec_BalogSV10','4','user_2','da7a76ec-6724-4fd4-8b8f-41ea8d3dce1a'
'2018-03-05T11:06:52','occurrence','hpi-group','hpi-group','irrelevant','dataset','w-1-0-7-254','4373774464','4370962976','conf_trec_BalogSV10','4','user_2','288e4c63-9efe-4fb0-a4bc-18a01ef45b8c'
'2018-03-05T11:06:57','occurrence','ictnet','ictnet','irrelevant','method','w-1-0-7-495','4571810056','4569018552','conf_trec_BalogSV10','4','user_2','092ab76f-68cb-400a-8237-a0d39108782b'
'2018-03-05T11:06:58','occurrence','ictnet','ictnet','irrelevant','dataset','w-1-0-7-495','4373845776','4370963816','conf_trec_BalogSV10','4','user_2','cb78a54f-16af-4fde-8065-1e9d6ef41bbf'
'2018-03-05T11:07:04','occurrence','urls','urls','irrelevant','method','w-1-0-7-602','4574560664','4571726456','conf_trec_BalogSV10','4','user_2','4e531bb1-0640-4ada-874f-069d788cf030'
'2018-03-05T11:07:06','occurrence','uapv','uapv','irrelevant','method','w-1-0-7-624','4574587816','4571727856','conf_trec_BalogSV10','4','user_2','eb49c6c8-eef9-4cf8-874f-64baa3e45f29'
'2018-03-05T11:07:13','occurrence','nict','nict','irrelevant','dataset','w-1-0-8-30','4373775024','4370963256','conf_trec_BalogSV10','5','user_2','75542b4e-aa1e-4531-82f7-a7edbac49584'
'2018-03-05T11:07:15','occurrence','pittsis','pittsis','irrelevant','dataset','w-1-0-8-140','4373774576','4370962864','conf_trec_BalogSV10','5','user_2','92fcee36-3356-41fa-a4cc-c07339aa2e29'
'2018-03-05T11:07:20','occurrence','pris','pris','irrelevant','method','w-1-0-8-232','4574584904','4571727464','conf_trec_BalogSV10','5','user_2','7388ac96-dd91-420a-a1d4-2608fdda8435'
'2018-03-05T11:07:22','occurrence','pris','pris','irrelevant','dataset','w-1-0-8-232','4373844992','4370963704','conf_trec_BalogSV10','5','user_2','9ac29b4f-e6d4-479d-a4a9-c105b4248984'
