paper_id,number_terms
conf_trec_0001W12,32
conf_trec_Abou-AssalehCDKW05,49
conf_trec_AdamsINNAPSDJLLNNSTGSAZ02,25
conf_trec_AhnBCDLSWC04,35
conf_trec_AhnBKNWC05,30
conf_trec_AhnJMMRS04,16
conf_trec_Allan05,25
conf_trec_AllanCDAPK07,48
conf_trec_AlmquistHSAS07,25
conf_trec_AlmquistMHS08,31
conf_trec_AminiSML11,39
conf_trec_AnhM04,30
conf_trec_AnilS08,38
conf_trec_AraujoGHBV12,49
conf_trec_AronsonDHLRRSTWL05,38
conf_trec_AronsonHIKLMSTWXDL04,28
conf_trec_AttardiCFST01,25
conf_trec_AttardiS06,48
conf_trec_BagdouriO15,30
conf_trec_BalogSV10,54
conf_trec_BalogSV11,46
conf_trec_BaronLO06,24
conf_trec_BaruahGRV13,16
conf_trec_BelloginGHSSVLV13,34
conf_trec_BellotCEGL02,61
conf_trec_BernsteinBGLSZW05,34
conf_trec_BhandariKK14,37
conf_trec_BillerbeckCCLWWYZ04,43
conf_trec_BlottCFGGJMOSWBS04,40
conf_trec_BoytsovB11,31
conf_trec_BraschlerKSK99,30
conf_trec_BraschlerSP99,53
conf_trec_BronHHMRTW10,41
conf_trec_BrownDH03,28
conf_trec_BrowneCGJLMMMOSY02,34
conf_trec_Buckley05,29
conf_trec_Buckley07,39
conf_trec_BuckleyW99,31
conf_trec_CarterettePFK09,39
conf_trec_ChaliJ07,34
conf_trec_ChenGWJ04,39
conf_trec_ChenJG00,26
conf_trec_ChenYG05,37
conf_trec_Chu-CarrollADGMPHW06,28
conf_trec_Chu-CarrollPWCF02,39
conf_trec_ClarkeCS04,39
conf_trec_CliftonCT03,43
conf_trec_Collins-ThompsonOZC02,29
conf_trec_CostKMNS02,34
conf_trec_CraswellHUMWW03,34
conf_trec_DaltonD12,34
conf_trec_DangKL07,24
conf_trec_DarwishO02,32
conf_trec_DayanikFGKMLM04,33
conf_trec_DayanikGKLM05,21
conf_trec_Dean-HallCKTV12,39
conf_trec_Dean-HallCKTV14,44
conf_trec_Dean-HallCSKTV13,55
conf_trec_DemeesterTNHZ14,56
conf_trec_Demner-FushmanAJLRLIAA11,25
conf_trec_Demner-FushmanHILSTWADRR06,34
conf_trec_DiekemaLCWMYL00,31
conf_trec_DouCSMSW09,34
conf_trec_EvansSRBSSMHT02,35
conf_trec_FallenN07,27
conf_trec_FallenNM08,32
conf_trec_FerresKDGAFRST05,59
conf_trec_FerretGIJM99,36
conf_trec_FranzMW99,17
conf_trec_Fujita00,22
conf_trec_Fujita04,29
conf_trec_FullerKKNWWZ99,12
conf_trec_GaizauskasGHHSS05,30
conf_trec_GaizauskasGHRS04,27
conf_trec_GaizauskasGHRSS03,32
conf_trec_GaoNZXSZH00,30
conf_trec_GarofoloAV99,55
conf_trec_GarronK10,32
conf_trec_Geller04,18
conf_trec_Geller05,30
conf_trec_GeyJ99,13
conf_trec_GeyO01,51
conf_trec_GoodwinRRH11,38
conf_trec_GoodwinRRH12,30
conf_trec_GreenwoodRG02,28
conf_trec_GrossmanCHO11,27
conf_trec_GuoHG04,37
conf_trec_GurrinS99,36
conf_trec_GurulingappaMHFGH11a,36
conf_trec_Hancock-BeaulieuFAS99,49
conf_trec_HannahMPHO07,34
conf_trec_HarabagiuMCBHW05,22
conf_trec_HauptmannJPNQHT01,26
conf_trec_HawkingBC99,15
conf_trec_HawkingVCB99,45
conf_trec_HeA05,35
conf_trec_HeBHMRTW09,38
conf_trec_HeHBVC11,32
conf_trec_HedinTBO09,51
conf_trec_Hersh02,37
conf_trec_HershB03,31
conf_trec_HershCRR06,31
conf_trec_HershTPKCSO99,33
conf_trec_HershTSOPCK00,27
conf_trec_HicklWBRSR06,54
conf_trec_HornPGL11,30
conf_trec_HovyHL01,31
conf_trec_HuangHZW04,37
conf_trec_Hull99,31
conf_trec_HullR99,22
conf_trec_HymanF10,28
conf_trec_IppolitoSMGSS15,31
conf_trec_JaleelACDLLSW04,33
conf_trec_JaleelCLLWA03,31
conf_trec_JijkounMMRST03,22
conf_trec_JinL14,22
conf_trec_JinZX03,28
conf_trec_JingujiLEMBEJNYZ06,26
conf_trec_JoganahLK15,37
conf_trec_JohnsonJJW00,28
conf_trec_JohnsonWJJ99,39
conf_trec_KaisserB04,28
conf_trec_KanoulasHCCS11,67
conf_trec_KapteinKK09,31
conf_trec_KatzBFFHKLLMMU04,23
conf_trec_KatzMBBFLLLMSUW05,25
conf_trec_KazawaIM01,29
conf_trec_KilLS05,33
conf_trec_KimBKR00,24
conf_trec_KimYC12,28
conf_trec_KingWPZ11,46
conf_trec_KosseimBKR06,24
conf_trec_KudoIHT05,64
conf_trec_KwokD07,33
conf_trec_KwokGC00,35
conf_trec_KwokGDC01,28
conf_trec_KwokGSD04,35
conf_trec_LaRockMRLS14,32
conf_trec_Larson99,42
conf_trec_LeeLS07,68
conf_trec_LeeSLJCLKCKAKK01,32
conf_trec_LeonardZLTCD10,33
conf_trec_LiA14,55
conf_trec_LiangQHFY12,22
conf_trec_LiangQY11,3
conf_trec_LinEWM09,34
conf_trec_Litkowski00,28
conf_trec_Litkowski02,37
conf_trec_Litkowski04,34
conf_trec_Litkowski05,46
conf_trec_LiuSCB11,31
conf_trec_LiuWHZ07,19
conf_trec_LoseySR15,91
conf_trec_LupuPHZT09,25
conf_trec_LvFQFY14,44
conf_trec_MacdonaldHPO05,28
conf_trec_MacdonaldOS07,37
conf_trec_MacdonaldOS09,36
conf_trec_MartinezOA12,40
conf_trec_MayfieldM03,32
conf_trec_MayfieldMCPB01,23
conf_trec_McCabeHACGF99,25
conf_trec_McCreadieVMOMMM15,28
conf_trec_MoldovanBT06,27
conf_trec_MoldovanCB07,49
conf_trec_MollaG04,25
conf_trec_MollaZ05,34
conf_trec_MonzKR02,28
conf_trec_Morton99,33
conf_trec_NaKLL02,21
conf_trec_NellapatiPS12,42
conf_trec_NguyenF14,22
conf_trec_NieHXLZJ15,31
conf_trec_NybergFMBHHKLLPS05,54
conf_trec_OardEWWZALS06,26
conf_trec_OardHTB08,93
conf_trec_OardWLS99,33
conf_trec_OsborneCSSWCMRA03,43
conf_trec_OunisMRMS06,31
conf_trec_PiatkoMMC04,24
conf_trec_PradhanKBWJMBSFDYPHMI02,16
conf_trec_PragerBRC00,21
conf_trec_PragerCCWIM03,36
conf_trec_QiL12,33
conf_trec_QuJESE99,38
conf_trec_RanganJ09,14
conf_trec_RazmaraFK07,31
conf_trec_ReddZBRR12,40
conf_trec_RobertsonS02,31
conf_trec_RobertsonWZH02,25
conf_trec_RuizRFS00,43
conf_trec_SanJuanFBI08,28
conf_trec_SaxenaSKS07,43
conf_trec_SchijvenaarsSMWJMKK05,33
conf_trec_SchlaeferGS06,28
conf_trec_SchlaeferKBPNS07,29
conf_trec_SchoneCCMMS05,21
conf_trec_SchoneCCMMS06,24
conf_trec_SchuemieTM11,25
conf_trec_SekiCSM04,29
conf_trec_SerdyukovV09,33
conf_trec_ShenWMKHLK07,34
conf_trec_ShiGPS05,31
conf_trec_SimpsonRPR12,40
conf_trec_SinghalABCHP99,23
conf_trec_SmallLAKKPTT11,47
conf_trec_SmeatonO02,62
conf_trec_SmuckerKL12,33
conf_trec_Soboroff04,28
conf_trec_SoboroffVC06,61
conf_trec_SrihariL99,29
conf_trec_StoberHFFKRJ15,41
conf_trec_StrzalkowskiCKHTL99,37
conf_trec_Sutcliffe02,22
conf_trec_SuwailehHTE15,24
conf_trec_TairaIHIKM03,28
conf_trec_TaoAH11,28
conf_trec_TomiyamaKKKT04,35
conf_trec_Tomlinson01,64
conf_trec_Tomlinson02,34
conf_trec_Tomlinson05,43
conf_trec_TomlinsonB00,46
conf_trec_TomlinsonOBT07,52
conf_trec_TomsFL02,48
conf_trec_TsaiWHWHLLSH05,37
conf_trec_Voorhees02,64
conf_trec_Voorhees03,45
conf_trec_Voorhees04,36
conf_trec_Voorhees05,36
conf_trec_Voorhees06,42
conf_trec_Voorhees07,48
conf_trec_WangGW06,31
conf_trec_WangLLZZMZXCG11,21
conf_trec_WangSLL13,35
conf_trec_WangSMS08,50
conf_trec_WeiZLW12,18
conf_trec_WhittakerNCF06,27
conf_trec_WoodleyLSKG05,40
conf_trec_WuDSSS05,29
conf_trec_WuHGLZ00,60
conf_trec_WuHNGXF01,64
conf_trec_WuHNXFZ02,43
conf_trec_WuK09,43
conf_trec_WuLW15,28
conf_trec_WuMRL12,38
conf_trec_WuS06,26
conf_trec_WuWSKL11,34
conf_trec_XuOM13,34
conf_trec_XuW00,29
conf_trec_XuYWLCLYCB02,24
conf_trec_XuYZSN07,28
conf_trec_YanLZP05,27
conf_trec_Yang01,25
conf_trec_YangDGHW10,30
conf_trec_YangM99,31
conf_trec_YeungCCLT03,31
conf_trec_YuAGLNNSTWZB05,24
conf_trec_ZaragozaCTSR04,26
conf_vldb_BiveinisSJ07,21
conf_vldb_GutierrezPST94,30
conf_vldb_Kim93,14
conf_vldb_LevyMS94,15
conf_vldb_Lynch88,18
conf_vldb_LyngbaekM83,26
conf_vldb_RothermelM89,39
conf_vldb_RoweS87,63
