paper_id,number_occurances,weighted_occurances
conf_trec_oardhtb08,198,291
conf_trec_loseysr15,193,284
conf_trec_kudoiht05,157,221
conf_trec_leels07,152,220
conf_trec_voorhees02,133,200
conf_trec_tomlinson01,133,197
conf_trec_wuhngxf01,133,197
conf_trec_kanoulashccs11,133,197
conf_esws_cyganiaksddt08,132,193
conf_trec_hicklwbrsr06,132,192
conf_trec_ferreskdgafrst05,131,190
conf_trec_smeatono02,131,186
conf_vldb_rowes87,129,186
conf_trec_wuhglz00,126,185
conf_trec_soboroffvc06,124,185
conf_trec_bellotcegl02,124,173
conf_esws_hartig12,123,170
conf_trec_dean-hallcsktv13,118,167
conf_esws_rietveldvbss15,117,166
conf_trec_garofoloav99,115,165
conf_trec_lia14,112,165
conf_trec_hedintbo09,111,163
conf_trec_nybergfmbhhkllps05,111,162
conf_trec_balogsv10,111,161
conf_trec_wangsms08,110,160
conf_trec_braschlersp99,110,155
conf_trec_demeestertnhz14,110,155
conf_trec_tomlinsonobt07,109,153
conf_vldb_x00,108,152
conf_trec_tomlinsonb00,106,152
conf_trec_abou-assalehcdkw05,106,150
conf_trec_araujoghbv12,106,149
conf_esws_simonwmm13,105,147
conf_trec_hancock-beaulieufas99,103,146
conf_esws_boerwghios12,102,146
conf_trec_nellapatips12,102,144
conf_trec_voorhees07,102,144
conf_trec_geyo01,102,144
conf_trec_litkowski05,100,142
conf_trec_kingwpz11,100,141
conf_trec_moldovancb07,100,138
conf_esws_kourtesisp08,99,137
conf_esws_aleman-mezabbbmnpz07,99,137
conf_trec_tomsfl02,99,136
conf_sigir_guarin88,96,134
conf_ercimdl_liubhs05,96,132
conf_trec_oardwls99,96,131
conf_trec_hawkingvcb99,96,131
conf_trec_attardis06,96,131
conf_trec_allancdapk07,96,131
