<PDFTerm: s-3-1-2-0, #pdf_words: 1, pdf_words: [<PDFWord: micro-clustering, word_id: w-3-1-2-11>]>
<PDFTerm: s-4-3-1-0, #pdf_words: 1, pdf_words: [<PDFWord: micro-clustering, word_id: w-4-3-1-6>]>
<PDFTerm: s-14-1-1-1, #pdf_words: 1, pdf_words: [<PDFWord: micro-clustering, word_id: w-14-1-1-48>]>
<PDFTerm: s-15-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: micro-clustering, word_id: w-15-1-1-3>]>
<PDFTerm: s-15-1-1-2, #pdf_words: 1, pdf_words: [<PDFWord: micro-clustering, word_id: w-15-1-1-54>]>
<PDFTerm: s-15-1-2-1, #pdf_words: 1, pdf_words: [<PDFWord: micro-clustering, word_id: w-15-1-2-23>]>
<PDFTerm: s-12-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-12-1-0-12>]>
<PDFTerm: s-13-0-0-0, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-13-0-0-3>]>
<PDFTerm: s-13-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-13-1-0-13>]>
<PDFTerm: s-13-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-13-1-0-34>]>
<PDFTerm: s-13-1-1-3, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-13-1-2-6>]>
<PDFTerm: s-13-1-3-1, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-13-1-3-27>]>
<PDFTerm: s-13-1-3-2, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-13-1-3-77>]>
<PDFTerm: s-13-2-0-0, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-13-2-0-5>]>
<PDFTerm: s-14-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-14-1-0-2>]>
<PDFTerm: s-14-4-1-0, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-14-4-1-4>]>
<PDFTerm: s-14-4-3-2, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-14-4-3-50>]>
<PDFTerm: s-15-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-15-1-1-8>]>
<PDFTerm: s-15-1-2-3, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-15-1-2-70>]>
<PDFTerm: s-16-1-6-2, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-16-1-6-12>]>
<PDFTerm: s-16-1-8-3, #pdf_words: 1, pdf_words: [<PDFWord: categorization, word_id: w-16-1-8-22>]>
<PDFTerm: s-4-1-1-0, #pdf_words: 3, pdf_words: [<PDFWord: latent, word_id: w-4-1-1-11>, <PDFWord: semantic, word_id: w-4-1-1-12>, <PDFWord: indexing, word_id: w-4-1-1-13>]>
<PDFTerm: s-7-1-0-1, #pdf_words: 1, pdf_words: [<PDFWord: observed, word_id: w-7-1-0-31>]>
<PDFTerm: s-8-29-1-3, #pdf_words: 1, pdf_words: [<PDFWord: observed, word_id: w-8-29-1-84>]>
<PDFTerm: s-2-1-0-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-2-1-0-23>]>
<PDFTerm: s-3-1-0-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-3-1-0-46>]>
